Kleborate v3.1.3
strain	species	N50	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes
PCMP_H164_contigs_l1000	Klebsiella pneumoniae	198669	ST15	1	2	8	13
PCMP_H165_contigs_l1000	Klebsiella pneumoniae	270194	ST258	2	2	8	16
PCMP_H166_contigs_l1000	Klebsiella pneumoniae	270819	ST258	0	2	4	3
PCMP_H167_contigs_l1000	Klebsiella pneumoniae	237688	ST258	0	2	7	9
PCMP_H168_contigs_l1000	Klebsiella pneumoniae	225025	ST258	0	2	9	10
PCMP_H169_contigs_l1000	Klebsiella pneumoniae	242727	ST258	0	2	8	16
PCMP_H16_contigs_l1000	Klebsiella pneumoniae	237860	ST258	0	2	8	12
PCMP_H170_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	3	2
PCMP_H171_contigs_l1000	Klebsiella pneumoniae	253587	ST258	2	2	6	8
PCMP_H172_contigs_l1000	Klebsiella pneumoniae	270819	ST258	0	2	4	3
PCMP_H173_contigs_l1000	Klebsiella pneumoniae	302661	ST258	0	2	3	2
PCMP_H174_contigs_l1000	Klebsiella pneumoniae	270864	ST258	0	2	3	2
PCMP_H175_contigs_l1000	Klebsiella pneumoniae	269763	ST258	2	2	4	3
PCMP_H176_contigs_l1000	Klebsiella pneumoniae	208675	ST258	2	2	8	13
PCMP_H177_contigs_l1000	Klebsiella pneumoniae	179389	ST258	0	2	7	12
PCMP_H178_contigs_l1000	Klebsiella pneumoniae	218657	ST258	2	2	7	11
PCMP_H179_contigs_l1000	Klebsiella pneumoniae	270498	ST258	2	3	8	8
PCMP_H17_contigs_l1000	Klebsiella pneumoniae	203931	ST258	0	2	8	14
PCMP_H180_contigs_l1000	Klebsiella pneumoniae	471911	ST193	0	0	5	10
PCMP_H181_contigs_l1000	Klebsiella pneumoniae	323232	ST258	0	2	4	3
PCMP_H182_contigs_l1000	Klebsiella pneumoniae	220318	ST258	2	2	7	9
PCMP_H183_contigs_l1000	Klebsiella pneumoniae	269699	ST258	2	2	7	14
PCMP_H184_contigs_l1000	Klebsiella pneumoniae	225025	ST258	2	2	4	3
PCMP_H185_contigs_l1000	Klebsiella pneumoniae	284054	ST1832	0	2	7	8
PCMP_H186_contigs_l1000	Klebsiella pneumoniae	238326	ST258	0	2	5	6
PCMP_H187_contigs_l1000	Klebsiella pneumoniae	271294	ST258	0	2	4	3
PCMP_H18_contigs_l1000	Klebsiella pneumoniae	205427	ST258	0	3	8	8
PCMP_H191_contigs_l1000	Klebsiella pneumoniae	271294	ST258	0	2	3	2
PCMP_H192_contigs_l1000	Klebsiella pneumoniae	270193	ST258	0	2	6	7
PCMP_H193_contigs_l1000	Klebsiella pneumoniae	177698	ST258	0	2	3	2
PCMP_H194_contigs_l1000	Klebsiella pneumoniae	196228	ST258	0	2	8	13
PCMP_H195_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	4	3
PCMP_H196_contigs_l1000	Klebsiella pneumoniae	271294	ST258	2	2	5	5
PCMP_H197_contigs_l1000	Klebsiella pneumoniae	225270	ST258	2	3	7	7
PCMP_H198_contigs_l1000	Klebsiella pneumoniae	172645	ST258	0	2	6	6
PCMP_H199_contigs_l1000	Klebsiella pneumoniae	96134	ST258	2	3	10	13
PCMP_H19_contigs_l1000	Klebsiella pneumoniae	248897	ST258	0	2	7	9
PCMP_H1_contigs_l1000	Klebsiella pneumoniae	248279	ST258	2	2	8	13
PCMP_H200_contigs_l1000	Klebsiella pneumoniae	210968	ST258	2	2	7	11
PCMP_H201_contigs_l1000	Klebsiella pneumoniae	270819	ST258	0	2	3	2
PCMP_H202_contigs_l1000	Klebsiella pneumoniae	225553	ST258	2	3	7	7
PCMP_H204_contigs_l1000	Klebsiella pneumoniae	135399	ST258	2	3	7	7
PCMP_H205_contigs_l1000	Klebsiella pneumoniae	269715	ST258	0	2	7	8
PCMP_H206_contigs_l1000	Klebsiella pneumoniae	234019	ST258	0	2	7	10
PCMP_H207_contigs_l1000	Klebsiella pneumoniae	260242	ST258	0	2	3	2
PCMP_H208_contigs_l1000	Klebsiella pneumoniae	270864	ST258	0	2	3	2
PCMP_H209_contigs_l1000	Klebsiella pneumoniae	229914	ST258	2	3	7	7
PCMP_H210_contigs_l1000	Klebsiella pneumoniae	156774	ST258	0	2	5	4
PCMP_H211_contigs_l1000	Klebsiella pneumoniae	192213	ST258	2	2	5	4
PCMP_H212_contigs_l1000	Klebsiella pneumoniae	218029	ST258	0	2	7	9
PCMP_H213_contigs_l1000	Klebsiella pneumoniae	215169	ST258	2	2	8	16
PCMP_H214_contigs_l1000	Klebsiella pneumoniae	197839	ST258	2	2	8	14
PCMP_H215_contigs_l1000	Klebsiella pneumoniae	315262	ST258	0	2	3	2
PCMP_H216_contigs_l1000	Klebsiella pneumoniae	159661	ST258	2	3	7	7
PCMP_H218_contigs_l1000	Klebsiella pneumoniae	237860	ST258	0	2	6	8
PCMP_H219_contigs_l1000	Klebsiella pneumoniae	237759	ST258	0	2	6	8
PCMP_H21_contigs_l1000	Klebsiella pneumoniae	225021	ST258	0	2	8	9
PCMP_H220_contigs_l1000	Klebsiella pneumoniae	270408	ST258	0	2	3	2
PCMP_H221_contigs_l1000	Klebsiella pneumoniae	203910	ST258	0	2	5	4
PCMP_H222_contigs_l1000	Klebsiella pneumoniae	203919	ST258	2	2	5	5
PCMP_H223_contigs_l1000	Klebsiella pneumoniae	260242	ST258	0	2	4	3
PCMP_H224_contigs_l1000	Klebsiella pneumoniae	323239	ST258	0	2	4	3
PCMP_H225_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	3	2
PCMP_H226_contigs_l1000	Klebsiella pneumoniae	203931	ST258	0	2	8	13
PCMP_H227_contigs_l1000	Klebsiella pneumoniae	234019	ST258	0	2	6	9
PCMP_H229_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	7	9
PCMP_H22_contigs_l1000	Klebsiella pneumoniae	237852	ST258	0	2	8	14
PCMP_H230_contigs_l1000	Klebsiella pneumoniae	218102	ST258	0	2	3	2
PCMP_H231_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	3	2
PCMP_H232_contigs_l1000	Klebsiella pneumoniae	269463	ST258	0	2	3	2
PCMP_H233_contigs_l1000	Klebsiella pneumoniae	237852	ST258	0	2	8	13
PCMP_H234_contigs_l1000	Klebsiella pneumoniae	225105	ST258	2	2	6	7
PCMP_H235_contigs_l1000	Klebsiella pneumoniae	220207	ST258	2	2	8	14
PCMP_H236_contigs_l1000	Klebsiella pneumoniae	269715	ST258	0	2	7	8
PCMP_H237_contigs_l1000	Klebsiella pneumoniae	210968	ST258	2	2	7	11
PCMP_H238_contigs_l1000	Klebsiella pneumoniae	237860	ST258	0	2	7	7
PCMP_H239_contigs_l1000	Klebsiella pneumoniae	237852	ST258	0	2	8	13
PCMP_H23_contigs_l1000	Klebsiella pneumoniae	323232	ST258	0	2	3	2
PCMP_H240_contigs_l1000	Klebsiella pneumoniae	220891	ST258	2	3	8	8
PCMP_H241_contigs_l1000	Klebsiella pneumoniae	215034	ST258	2	2	3	2
PCMP_H242_contigs_l1000	Klebsiella pneumoniae	224369	ST258	0	2	8	9
PCMP_H243_contigs_l1000	Klebsiella pneumoniae	110308	ST34	0	2	1	1
PCMP_H245_contigs_l1000	Klebsiella pneumoniae	240811	ST307	0	3	5	3
PCMP_H246_contigs_l1000	Klebsiella pneumoniae	220888	ST258	0	2	7	8
PCMP_H247_contigs_l1000	Klebsiella pneumoniae	237759	ST258	0	2	8	13
PCMP_H249_contigs_l1000	Klebsiella pneumoniae	203933	ST258	2	3	7	9
PCMP_H24_contigs_l1000	Klebsiella pneumoniae	208256	ST15	1	2	8	13
PCMP_H250_contigs_l1000	Klebsiella pneumoniae	237760	ST258	0	2	3	2
PCMP_H251_contigs_l1000	Klebsiella pneumoniae	203931	ST258	0	2	8	15
PCMP_H252_contigs_l1000	Klebsiella pneumoniae	269699	ST258	2	2	5	5
PCMP_H253_contigs_l1000	Klebsiella pneumoniae	271294	ST258	2	2	5	5
PCMP_H254_contigs_l1000	Klebsiella pneumoniae	323239	ST258	0	2	3	2
PCMP_H255_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	3	2
PCMP_H256_contigs_l1000	Klebsiella pneumoniae	233716	ST258	2	3	5	3
PCMP_H257_contigs_l1000	Klebsiella pneumoniae	224374	ST258	0	2	5	4
PCMP_H258_contigs_l1000	Klebsiella pneumoniae	252217	ST258	2	2	6	9
PCMP_H259_contigs_l1000	Klebsiella pneumoniae	214452	ST258	0	2	7	10
PCMP_H25_contigs_l1000	Klebsiella pneumoniae	185509	ST15-1LV	0	2	5	4
PCMP_H260_contigs_l1000	Klebsiella pneumoniae	260152	ST36	0	2	4	5
PCMP_H261_contigs_l1000	Klebsiella pneumoniae	269738	ST258	0	2	3	2
PCMP_H262_contigs_l1000	Klebsiella pneumoniae	149743	ST258	2	2	4	4
PCMP_H264_contigs_l1000	Klebsiella pneumoniae	225279	ST258	0	2	8	15
PCMP_H265_contigs_l1000	Klebsiella pneumoniae	223215	ST258	0	2	5	5
PCMP_H266_contigs_l1000	Klebsiella pneumoniae	270452	ST258	2	2	4	3
PCMP_H267_contigs_l1000	Klebsiella pneumoniae	204348	ST258	0	3	8	9
PCMP_H268_contigs_l1000	Klebsiella pneumoniae	270193	ST258	2	3	7	7
PCMP_H269_contigs_l1000	Klebsiella pneumoniae	218100	ST258	0	2	3	2
PCMP_H26_contigs_l1000	Klebsiella pneumoniae	269763	ST258	0	2	7	7
PCMP_H270_contigs_l1000	Klebsiella pneumoniae	237760	ST258	0	2	3	2
PCMP_H271_contigs_l1000	Klebsiella pneumoniae	227311	ST258	0	2	3	2
PCMP_H272_contigs_l1000	Klebsiella pneumoniae	270467	ST258	2	3	8	8
PCMP_H273_contigs_l1000	Klebsiella pneumoniae	209473	ST258	0	3	8	10
PCMP_H274_contigs_l1000	Klebsiella pneumoniae	212487	ST258	2	2	5	4
PCMP_H275_contigs_l1000	Klebsiella pneumoniae	214732	ST258	0	2	9	15
PCMP_H276_contigs_l1000	Klebsiella pneumoniae	270819	ST258	0	2	4	3
PCMP_H277_contigs_l1000	Klebsiella pneumoniae	203931	ST258	2	2	8	14
PCMP_H278_contigs_l1000	Klebsiella pneumoniae	212988	ST258	0	2	8	15
PCMP_H27_contigs_l1000	Klebsiella pneumoniae	225279	ST258	0	2	8	13
PCMP_H280_contigs_l1000	Klebsiella pneumoniae	270467	ST258	2	3	8	9
PCMP_H281_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	3	2
PCMP_H282_contigs_l1000	Klebsiella pneumoniae	177712	ST258	0	2	3	2
PCMP_H283_contigs_l1000	Klebsiella pneumoniae	220890	ST258	2	2	9	15
PCMP_H284_contigs_l1000	Klebsiella pneumoniae	219057	ST258	2	3	7	7
PCMP_H285_contigs_l1000	Klebsiella pneumoniae	328522	ST258	0	2	3	2
PCMP_H286_contigs_l1000	Klebsiella pneumoniae	231105	ST258	2	2	8	16
PCMP_H287_contigs_l1000	Klebsiella pneumoniae	260242	ST258	0	2	3	2
PCMP_H288_contigs_l1000	Klebsiella pneumoniae	213660	ST258	2	3	8	9
PCMP_H289_contigs_l1000	Klebsiella pneumoniae	216328	ST258	0	2	6	11
PCMP_H28_contigs_l1000	Klebsiella pneumoniae	486645	ST345	0	2	4	4
PCMP_H290_contigs_l1000	Klebsiella pneumoniae	269698	ST258	2	3	7	7
PCMP_H291_contigs_l1000	Klebsiella pneumoniae	270454	ST258	0	2	4	3
PCMP_H292_contigs_l1000	Klebsiella pneumoniae	270819	ST258	2	2	4	4
PCMP_H293_contigs_l1000	Klebsiella pneumoniae	270872	ST258	0	2	4	3
PCMP_H294_contigs_l1000	Klebsiella pneumoniae	213660	ST258	2	3	8	9
PCMP_H295_contigs_l1000	Klebsiella pneumoniae	234019	ST258	2	2	8	16
PCMP_H296_contigs_l1000	Klebsiella pneumoniae	218605	ST258	2	3	7	8
PCMP_H297_contigs_l1000	Klebsiella pneumoniae	260246	ST258	0	2	4	3
PCMP_H298_contigs_l1000	Klebsiella pneumoniae	354384	ST17	1	1	7	10
PCMP_H299_contigs_l1000	Klebsiella pneumoniae	257366	ST258	2	3	8	7
PCMP_H29_contigs_l1000	Klebsiella pneumoniae	189645	ST15	1	2	8	13
PCMP_H2_contigs_l1000	Klebsiella pneumoniae	112012	ST258	2	2	8	15
PCMP_H300_contigs_l1000	Klebsiella pneumoniae	237852	ST258	0	2	7	9
PCMP_H301_contigs_l1000	Klebsiella pneumoniae	318232	ST258	2	2	8	9
PCMP_H302_contigs_l1000	Klebsiella pneumoniae	219343	ST258	2	3	8	9
PCMP_H303_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	3	2
PCMP_H304_contigs_l1000	Klebsiella pneumoniae	345339	ST36	0	2	4	4
PCMP_H305_contigs_l1000	Klebsiella pneumoniae	232753	ST258	0	2	7	12
PCMP_H306_contigs_l1000	Klebsiella pneumoniae	231093	ST258	0	2	7	8
PCMP_H307_contigs_l1000	Klebsiella pneumoniae	318232	ST258	2	2	5	5
PCMP_H308_contigs_l1000	Klebsiella pneumoniae	270872	ST258	0	2	4	3
PCMP_H309_contigs_l1000	Klebsiella pneumoniae	219969	ST258	2	2	7	11
PCMP_H30_contigs_l1000	Klebsiella pneumoniae	275429	ST258	2	2	4	4
PCMP_H310_contigs_l1000	Klebsiella pneumoniae	498779	ST107	0	2	2	2
PCMP_H311_contigs_l1000	Klebsiella pneumoniae	271295	ST258	0	2	8	14
PCMP_H312_contigs_l1000	Klebsiella pneumoniae	234019	ST258	0	2	8	13
PCMP_H313_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	4	3
PCMP_H314_contigs_l1000	Klebsiella pneumoniae	158995	ST258	2	3	7	8
PCMP_H315_contigs_l1000	Klebsiella pneumoniae	231588	ST258	0	2	5	5
PCMP_H316_contigs_l1000	Klebsiella pneumoniae	270193	ST258	0	2	3	2
PCMP_H317_contigs_l1000	Klebsiella pneumoniae	270193	ST258	0	3	8	10
PCMP_H318_contigs_l1000	Klebsiella pneumoniae	270799	ST258	0	2	8	14
PCMP_H319_contigs_l1000	Klebsiella pneumoniae	270467	ST258	2	3	8	8
PCMP_H31_contigs_l1000	Klebsiella pneumoniae	237852	ST258	0	2	8	14
PCMP_H320_contigs_l1000	Klebsiella pneumoniae	264881	ST258	2	2	5	4
PCMP_H321_contigs_l1000	Klebsiella pneumoniae	190461	ST2237	2	0	7	9
PCMP_H322_contigs_l1000	Klebsiella pneumoniae	248279	ST258	0	2	8	12
PCMP_H323_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	4	3
PCMP_H324_contigs_l1000	Klebsiella pneumoniae	198667	ST15	1	2	8	14
PCMP_H325_contigs_l1000	Klebsiella pneumoniae	231105	ST258	2	2	9	17
PCMP_H326_contigs_l1000	Klebsiella pneumoniae	231127	ST258	0	3	7	7
PCMP_H327_contigs_l1000	Klebsiella pneumoniae	319654	ST258	2	3	9	8
PCMP_H328_contigs_l1000	Klebsiella pneumoniae	270467	ST258	2	2	8	16
PCMP_H329_contigs_l1000	Klebsiella pneumoniae	220606	ST258	2	3	8	9
PCMP_H32_contigs_l1000	Klebsiella pneumoniae	237758	ST258	0	2	3	2
PCMP_H330_contigs_l1000	Klebsiella pneumoniae	225024	ST258	2	2	4	3
PCMP_H331_contigs_l1000	Klebsiella pneumoniae	234019	ST258	0	2	8	14
PCMP_H332_contigs_l1000	Klebsiella pneumoniae	213660	ST258	2	3	9	10
PCMP_H334_contigs_l1000	Klebsiella pneumoniae	208256	ST15	1	2	8	14
PCMP_H335_contigs_l1000	Klebsiella pneumoniae	323232	ST258	0	2	4	3
PCMP_H336_contigs_l1000	Klebsiella pneumoniae	233162	ST15	0	1	8	12
PCMP_H337_contigs_l1000	Klebsiella pneumoniae	197839	ST258	2	3	5	3
PCMP_H338_contigs_l1000	Klebsiella pneumoniae	210971	ST258	2	3	8	7
PCMP_H339_contigs_l1000	Klebsiella pneumoniae	234019	ST258	0	2	7	8
PCMP_H33_contigs_l1000	Klebsiella pneumoniae	237852	ST258	0	2	8	15
PCMP_H340_contigs_l1000	Klebsiella pneumoniae	270467	ST258	2	3	6	5
PCMP_H341_contigs_l1000	Klebsiella pneumoniae	227809	ST15	0	1	8	12
PCMP_H342_contigs_l1000	Klebsiella pneumoniae	260246	ST258	0	2	4	3
PCMP_H343_contigs_l1000	Klebsiella pneumoniae	220453	ST258	2	0	6	10
PCMP_H345_contigs_l1000	Klebsiella pneumoniae	323232	ST258	0	2	3	2
PCMP_H346_contigs_l1000	Klebsiella pneumoniae	270467	ST258	0	2	6	9
PCMP_H347_contigs_l1000	Klebsiella pneumoniae	231115	ST258	0	2	5	5
PCMP_H348_contigs_l1000	Klebsiella pneumoniae	270452	ST258	2	2	4	3
PCMP_H349_contigs_l1000	Klebsiella pneumoniae	265531	ST258	0	2	5	4
PCMP_H34_contigs_l1000	Klebsiella pneumoniae	225024	ST258	0	3	9	14
PCMP_H350_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	5	5
PCMP_H351_contigs_l1000	Klebsiella pneumoniae	213660	ST258	2	3	8	9
PCMP_H352_contigs_l1000	Klebsiella pneumoniae	354333	ST17	1	1	7	10
PCMP_H353_contigs_l1000	Klebsiella pneumoniae	220809	ST258	0	2	4	3
PCMP_H354_contigs_l1000	Klebsiella pneumoniae	324619	ST258	2	3	8	7
PCMP_H355_contigs_l1000	Klebsiella pneumoniae	209774	ST258	2	3	9	10
PCMP_H356_contigs_l1000	Klebsiella pneumoniae	231084	ST258	5	2	7	8
PCMP_H357_contigs_l1000	Klebsiella pneumoniae	221608	ST258	2	2	4	3
PCMP_H358_contigs_l1000	Klebsiella pneumoniae	198667	ST15	1	2	8	13
PCMP_H359_contigs_l1000	Klebsiella pneumoniae	318232	ST258	2	2	8	11
PCMP_H35_contigs_l1000	Klebsiella pneumoniae	225270	ST258	2	3	7	7
PCMP_H360_contigs_l1000	Klebsiella pneumoniae	270412	ST258	0	2	7	12
PCMP_H361_contigs_l1000	Klebsiella pneumoniae	280584	ST258	2	2	6	7
PCMP_H362_contigs_l1000	Klebsiella pneumoniae	237744	ST258	0	2	5	9
PCMP_H363_contigs_l1000	Klebsiella pneumoniae	339572	ST307	0	2	6	5
PCMP_H364_contigs_l1000	Klebsiella pneumoniae	328121	ST307	0	2	4	3
PCMP_H365_contigs_l1000	Klebsiella pneumoniae	237688	ST258	0	2	7	9
PCMP_H367_contigs_l1000	Klebsiella pneumoniae	237689	ST258	0	2	7	9
PCMP_H368_contigs_l1000	Klebsiella pneumoniae	212804	ST307	0	3	9	9
PCMP_H36_contigs_l1000	Klebsiella pneumoniae	269763	ST258	0	2	4	3
PCMP_H370_contigs_l1000	Klebsiella pneumoniae	205727	ST258	2	2	4	3
PCMP_H371_contigs_l1000	Klebsiella pneumoniae	220206	ST258	2	3	7	7
PCMP_H372_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	3	2
PCMP_H373_contigs_l1000	Klebsiella pneumoniae	159865	ST258	2	2	8	16
PCMP_H374_contigs_l1000	Klebsiella pneumoniae	204995	ST258	2	2	8	17
PCMP_H375_contigs_l1000	Klebsiella pneumoniae	225021	ST258	2	2	4	3
PCMP_H376_contigs_l1000	Klebsiella pneumoniae	157686	ST258	0	2	9	11
PCMP_H377_contigs_l1000	Klebsiella pneumoniae	237759	ST258	0	2	3	2
PCMP_H378_contigs_l1000	Klebsiella pneumoniae	269763	ST258	2	2	4	3
PCMP_H379_contigs_l1000	Klebsiella pneumoniae	234015	ST258	0	2	7	11
PCMP_H37_contigs_l1000	Klebsiella pneumoniae	270800	ST258	0	2	4	4
PCMP_H380_contigs_l1000	Klebsiella pneumoniae	130678	ST258	0	2	8	13
PCMP_H381_contigs_l1000	Klebsiella pneumoniae	270467	ST258	2	2	8	16
PCMP_H382_contigs_l1000	Klebsiella pneumoniae	171852	ST258	0	2	8	14
PCMP_H383_contigs_l1000	Klebsiella pneumoniae	269764	ST258	2	2	4	3
PCMP_H384_contigs_l1000	Klebsiella pneumoniae	220452	ST258	0	2	9	11
PCMP_H385_contigs_l1000	Klebsiella pneumoniae	215169	ST258	2	2	8	17
PCMP_H386_contigs_l1000	Klebsiella pneumoniae	271294	ST258	0	2	4	3
PCMP_H387_contigs_l1000	Klebsiella pneumoniae	214732	ST258	2	2	8	17
PCMP_H388_contigs_l1000	Klebsiella pneumoniae	155885	ST258	0	2	4	4
PCMP_H389_contigs_l1000	Klebsiella pneumoniae	220890	ST258	2	3	8	8
PCMP_H38_contigs_l1000	Klebsiella pneumoniae	270452	ST258	2	2	4	3
PCMP_H390_contigs_l1000	Klebsiella pneumoniae	270451	ST258	0	2	9	15
PCMP_H391_contigs_l1000	Klebsiella pneumoniae	233194	ST258	0	2	7	10
PCMP_H392_contigs_l1000	Klebsiella pneumoniae	237760	ST258	0	2	9	11
PCMP_H393_contigs_l1000	Klebsiella pneumoniae	221619	ST258	2	3	7	7
PCMP_H394_contigs_l1000	Klebsiella pneumoniae	269763	ST258	0	2	4	3
PCMP_H395_contigs_l1000	Klebsiella pneumoniae	167991	ST258	0	2	7	11
PCMP_H396_contigs_l1000	Klebsiella pneumoniae	176401	ST258	0	2	8	13
PCMP_H397_contigs_l1000	Klebsiella pneumoniae	211537	ST258	2	3	8	9
PCMP_H398_contigs_l1000	Klebsiella pneumoniae	237757	ST258	0	2	5	5
PCMP_H399_contigs_l1000	Klebsiella pneumoniae	225025	ST258	0	2	5	5
PCMP_H39_contigs_l1000	Klebsiella pneumoniae	234019	ST258	0	2	8	14
